링크ID,시작노드ID,종료노드ID,시작노드명,종료노드명,도로명,지도거리,표준링크수,기본도로여부,권역코드,권역코드명,소통등급구분코드,소통등급구분코드명,소통제공여부
1010008200,1010020300,1010022100,퇴계로5가,광희동사거리,퇴계로,419.0,3,Y,101,중구,20,시내,Y
1010008400,1010021600,1010021700,시청역,웨스턴조선호텔,세종대로18길,221.0,2,Y,101,중구,20,시내,Y
1010008600,1010021100,1010023600,명동입구,명동성당,명동길,509.0,2,N,101,중구,20,시내,N
1010008800,1010020300,1010023700,퇴계로5가,오장동사거리,동호로,155.0,2,Y,101,중구,20,시내,Y
1010008900,1010027000,1010018200,서대문역,경찰청앞,통일로,497.0,6,Y,101,중구,20,시내,Y
1010009100,1010021700,1010021100,웨스턴조선호텔,명동입구,남대문로7길,246.0,1,N,101,중구,20,시내,Y
1010009200,1010021100,1010021700,명동입구,웨스턴조선호텔,남대문로7길,250.0,1,Y,101,중구,20,시내,Y
1010009400,1010002800,1010022500,중구청,명보사거리,마른내로,485.0,2,Y,101,중구,20,시내,Y
1010009500,1010024700,1010021700,서울프라자호텔,웨스턴조선호텔,소공로,137.0,2,Y,101,중구,20,시내,Y
1010009600,1010021700,1010024700,웨스턴조선호텔,서울프라자호텔,소공로,137.0,2,Y,101,중구,20,시내,Y
